axis,fold,region,formula,E,a,b,b_log,c,h,fom_med,gamma
indomain_AK,3,Alaska,F5k2,,22.41408276571456,,,0.3452735225925999,,,
indomain_AK,3,Alaska,F6k0,,,,,,,,
indomain_AK,3,Alaska,F6k1,,,,,0.8046795585293312,,,
indomain_AK,3,Alaska,F6k2,,29.331553058284207,,,0.3186233555049296,,,
indomain_AK,3,Alaska,F7k1,1.559612367128573,,,,,,,
indomain_AK,3,Alaska,F7k2,1.711202672055395,-4.941041084435491,,,,,,
indomain_AK,3,Alaska,F8k2,1.545676725970127,,,,,4.502218803963783,0.44961920000000005,
indomain_AK,3,Alaska,F9k2,1.4335268152994567,,,,,,,0.127925875516971
indomain_AK,3,Alaska,F10k2,1.7346042427461053,,,,,,,-0.9438081626194476
indomain_AK,4,Alaska,F1k1,1.6063477761999383,,,,,,,
indomain_AK,4,Alaska,F1k2,1.2455914988594736,12.16895827932431,,,,,,
indomain_AK,4,Alaska,F2k2,,3.733416194377938,0.3811031711034467,0.36417183938286546,,,,
indomain_AK,4,Alaska,F3k2,,30.217452471864235,0.01970832249473565,,,,,
indomain_AK,4,Alaska,F4k2,,64.31571015428993,2.8182180812254445,,,,,
indomain_AK,4,Alaska,F5k0,,,,,,,,
indomain_AK,4,Alaska,F5k1,,,,,0.5672790264216195,,,
indomain_AK,4,Alaska,F5k2,,22.44946440305979,,,0.3371490082636811,,,
indomain_AK,4,Alaska,F6k0,,,,,,,,
indomain_AK,4,Alaska,F6k1,,,,,0.721945141589852,,,
indomain_AK,4,Alaska,F6k2,,29.03836231078348,,,0.31727385320201157,,,
indomain_AK,4,Alaska,F7k1,1.5379544162724876,,,,,,,
indomain_AK,4,Alaska,F7k2,1.6428117499037769,-3.6375758442147106,,,,,,
indomain_AK,4,Alaska,F8k2,1.5113589201119715,,,,,4.173931859652587,0.44237840000000006,
indomain_AK,4,Alaska,F9k2,1.4228775595964271,,,,,,,0.12492666366322733
indomain_AK,4,Alaska,F10k2,1.7889731598727643,,,,,,,-2.3186622163136916
indomain_AK,5,Alaska,F1k1,1.620761439998167,,,,,,,
indomain_AK,5,Alaska,F1k2,1.2281421036820073,12.733594825722628,,,,,,
indomain_AK,5,Alaska,F2k2,,3.8996894613751656,0.3748611536529616,0.36629423112939347,,,,
indomain_AK,5,Alaska,F3k2,,30.710094010998983,0.01933176583176095,,,,,
indomain_AK,5,Alaska,F4k2,,63.384954626598066,2.6035032171844805,,,,,
indomain_AK,5,Alaska,F5k0,,,,,,,,
indomain_AK,5,Alaska,F5k1,,,,,0.575615724955579,,,
indomain_AK,5,Alaska,F5k2,,22.907905393442853,,,0.3307408827963792,,,
indomain_AK,5,Alaska,F6k0,,,,,,,,
indomain_AK,5,Alaska,F6k1,,,,,0.7540034535372826,,,
indomain_AK,5,Alaska,F6k2,,29.39953457695039,,,0.3055552367134775,,,
indomain_AK,5,Alaska,F7k1,1.5291945910462206,,,,,,,
indomain_AK,5,Alaska,F7k2,1.5778662706633044,-1.647957222236839,,,,,,
indomain_AK,5,Alaska,F8k2,1.5138149146244249,,,,,4.588655912057465,0.44961920000000005,
indomain_AK,5,Alaska,F9k2,1.416695204856077,,,,,,,0.13061140982049876
indomain_AK,5,Alaska,F10k2,1.626277358645439,,,,,,,-0.07239453278350173
LORO,-1,Canada,F1k1,1.5943749909061398,,,,,,,
LORO,-1,Canada,F1k2,1.2485930742190252,11.210499119327556,,,,,,
LORO,-1,Canada,F2k2,,3.3442226016609164,0.39425662857258553,0.3579870172315353,,,,
LORO,-1,Canada,F3k2,,29.679243173298975,0.019790876701862747,,,,,
LORO,-1,Canada,F4k2,,63.9077693948439,2.365557261369589,,,,,
LORO,-1,Canada,F5k0,,,,,,,,
LORO,-1,Canada,F5k1,,,,,0.5439312868601195,,,
LORO,-1,Canada,F5k2,,24.503296865532047,,,0.28831525135576797,,,
LORO,-1,Canada,F6k0,,,,,,,,
LORO,-1,Canada,F6k1,,,,,0.713292094969424,,,
LORO,-1,Canada,F6k2,,29.328308137728175,,,0.2899185087146208,,,
LORO,-1,Canada,F7k1,1.529405088556392,,,,,,,
LORO,-1,Canada,F7k2,1.6464863733962083,-3.9161440031311976,,,,,,
LORO,-1,Canada,F8k2,1.49504402434553,,,,,4.888520420727747,0.44186120000000007,
LORO,-1,Canada,F9k2,1.483645805692764,,,,,,,0.06638545720030761
LORO,-1,Canada,F10k2,1.6135064743905447,,,,,,,-0.24382373017123418
LORO,-1,Alaska,F1k1,1.5149729793711377,,,,,,,
LORO,-1,Alaska,F1k2,2.1598693632738195,-20.85506193074377,,,,,,
LORO,-1,Alaska,F2k2,,0.2691946814138935,0.7470082367203779,0.6091352638609575,,,,
LORO,-1,Alaska,F3k2,,15.252001204749279,0.031445121942056724,,,,,
LORO,-1,Alaska,F4k2,,91.98997090005066,4.736304892426077,,,,,
LORO,-1,Alaska,F5k0,,,,,,,,
LORO,-1,Alaska,F5k1,,,,,0.4388277615405517,,,
LORO,-1,Alaska,F5k2,,1.765298351745219,,,0.4232266696464801,,,
LORO,-1,Alaska,F6k0,,,,,,,,
LORO,-1,Alaska,F6k1,,,,,0.5983661030379992,,,
LORO,-1,Alaska,F6k2,,12.14707364929958,,,0.4552003435672866,,,
LORO,-1,Alaska,F7k1,1.498389409134031,,,,,,,
LORO,-1,Alaska,F7k2,2.399764480920045,-29.437883382220207,,,,,,
LORO,-1,Alaska,F8k2,1.5636672262829003,,,,,17.61943004607271,0.1179216,
LORO,-1,Alaska,F9k2,2.181814705347961,,,,,,,-0.3291766534667107
LORO,-1,Alaska,F10k2,1.1516193542303574,,,,,,,6.750108288226519
LORO,-1,Lena,F1k1,1.622377030711758,,,,,,,
LORO,-1,Lena,F1k2,1.2654432583610364,11.98102444523199,,,,,,
LORO,-1,Lena,F2k2,,3.6145021059419262,0.3868569810857892,0.35857836122850867,,,,
LORO,-1,Lena,F3k2,,30.54965219155857,0.019937589033367092,,,,,
LORO,-1,Lena,F4k2,,65.95447114374915,2.8151236018140713,,,,,
LORO,-1,Lena,F5k0,,,,,,,,
LORO,-1,Lena,F5k1,,,,,0.5607231000868581,,,
LORO,-1,Lena,F5k2,,23.47317824642221,,,0.32516962852917,,,
LORO,-1,Lena,F6k0,,,,,,,,
LORO,-1,Lena,F6k1,,,,,0.702919893069396,,,
LORO,-1,Lena,F6k2,,28.824208869921645,,,0.3237949676886229,,,
LORO,-1,Lena,F7k1,1.5560602388592852,,,,,,,
LORO,-1,Lena,F7k2,1.6536806986111763,-3.3697941319928284,,,,,,
LORO,-1,Lena,F8k2,1.53906021682991,,,,,3.637359324236689,0.44237840000000006,
LORO,-1,Lena,F9k2,1.446818650272913,,,,,,,0.11499593240281962
LORO,-1,Lena,F10k2,1.6409637701969202,,,,,,,-0.2415214665432001
