site,name,calm_id,country,area,lat,lon,year,alt_cm,wc_elev,wc_bio1,wc_bio4,wc_bio7,wc_bio12,y,x,ym,tdd,fdd,sqrt_tdd,thaw_months,summer_t,winter_prec,continentality
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2007,32.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4965075614664802,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2008,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2009,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2010,41.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.737669618283368,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2011,41.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.737669618283368,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2012,38.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6635616461296463,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2013,41.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.737669618283368,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2014,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2015,40.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7135720667043075,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2016,40.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7135720667043075,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2017,39.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6888794541139363,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2018,38.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6635616461296463,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2019,47.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.8712010109078907,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2020,45.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.828641396489095,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2021,31.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4657359027997265,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2022,32.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4965075614664802,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2023,44.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.8066624897703196,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U1,Barrow,2.0,United States (Alaska),Alaska North Slope,71.3167,-156.6,2024,38.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6635616461296463,-1897965.3455282936,751457.6400220963,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1991,23.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.1780538303479453,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1992,23.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.1780538303479453,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1993,29.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4011973816621555,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1994,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1995,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1996,35.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.58351893845611,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1997,37.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6375861597263857,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1998,40.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7135720667043075,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,1999,37.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6375861597263857,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2000,36.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6109179126442243,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2001,29.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4011973816621555,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2002,30.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4339872044851463,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2003,28.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.3672958299864737,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2004,41.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.737669618283368,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2005,35.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.58351893845611,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2006,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2007,35.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.58351893845611,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2008,35.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.58351893845611,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2009,36.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6109179126442243,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2010,41.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.737669618283368,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2011,39.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6888794541139363,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2012,38.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6635616461296463,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2013,40.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7135720667043075,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2014,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2015,39.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6888794541139363,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2016,38.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6635616461296463,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2017,39.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6888794541139363,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2018,37.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6375861597263857,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2019,43.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.784189633918261,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2020,42.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7612001156935624,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2021,34.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.5553480614894135,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2022,32.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.4965075614664802,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2023,42.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.7612001156935624,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U2,"Barrow, CRREL Plots",235.0,United States (Alaska),Alaska North Slope,71.3167,-156.5833,2024,37.0,7.0,-11.9061575,1308.7799,40.1,112.0,3.6375861597263857,-1898184.292251733,750904.4081790311,580.9065403116215,4926.654027811622,24.1020028278071,3.585526315789474,8.1438425,78.55342465753425,3.0639221259493574
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,1995,44.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.8066624897703196,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,1996,47.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.8712010109078907,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,1997,45.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.828641396489095,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,1998,51.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.951243718581427,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,1999,49.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.912023005428146,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2000,43.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.784189633918261,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2001,40.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.7135720667043075,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2002,42.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.7612001156935624,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2003,37.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.6375861597263857,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2004,59.0,18.0,-10.5850315,1379.856,43.55975,137.0,4.0943445622221,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2005,47.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.8712010109078907,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2006,47.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.8712010109078907,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2007,46.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.8501476017100584,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2008,49.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.912023005428146,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2009,54.0,18.0,-10.5850315,1379.856,43.55975,137.0,4.007333185232471,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2010,49.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.912023005428146,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2011,50.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.9318256327243257,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2012,50.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.9318256327243257,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2013,58.0,18.0,-10.5850315,1379.856,43.55975,137.0,4.07753744390572,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2014,52.0,18.0,-10.5850315,1379.856,43.55975,137.0,3.9702919135521215,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
U3,Atkasuk,5.0,United States (Alaska),Alaska North Slope,70.45,-157.4,2015,54.0,18.0,-10.5850315,1379.856,43.55975,137.0,4.007333185232471,-1976455.6064572772,814636.2154078609,903.8662358857509,4767.402733385751,30.06436821032085,4.078947368421053,11.194843500000001,90.45753424657534,3.1568328030727266
