family,cond,target,chosen,select_mean_others,score
anchored,covonly,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.359,26.474
anchored,covonly,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.25}",31.49357777777778,11.464999999999998
analytic,covonly,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",29.7762,19.388
analytic,covonly,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.274533333333334,31.896333333333335
analytic,covonly,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.698266666666665,29.777666666666665
analytic,covonly,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan_cci"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost"", ""iw"": 0, ""lam"": 0.0}",23.215600000000002,70.323
analytic,covonly,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.359,26.474
analytic,covonly,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",31.6278,10.13
all,noinfo,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.581399999999995,22.846
all,noinfo,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",26.543200000000002,33.037
all,noinfo,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 1, ""lam"": 1.0}",26.300000000000004,46.204
all,noinfo,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",24.3732,43.887
all,noinfo,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.9284,26.111
all,noinfo,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.25}",30.999133333333333,11.464999999999998
anchored,noinfo,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.581399999999995,22.846
anchored,noinfo,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",26.543200000000002,33.037
anchored,noinfo,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 1, ""lam"": 1.0}",26.300000000000004,46.204
anchored,noinfo,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",24.3732,43.887
anchored,noinfo,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.9284,26.111
anchored,noinfo,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.25}",30.999133333333333,11.464999999999998
analytic,noinfo,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.581399999999995,22.846
analytic,noinfo,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",26.543200000000002,33.037
analytic,noinfo,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.202199999999998,29.742
analytic,noinfo,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",24.3732,43.887
analytic,noinfo,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.9284,26.111
analytic,noinfo,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",31.124599999999997,10.13
all,labels,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.5}",29.121933333333335,17.47388888888889
all,labels,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.25}",27.086600000000004,28.27311111111111
all,labels,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.5}",26.660911111111112,29.779
all,labels,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""none"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""ens_cb_mlp"", ""iw"": 0, ""lam"": 1.0}",19.75622629268651,71.7694167890302
all,labels,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.5}",27.255666666666666,26.805222222222227
all,labels,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan_cci"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""ddpm"", ""iw"": 0, ""lam"": 0.75}",29.918600000000005,24.44666666666667
anchored,labels,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.5}",29.121933333333335,17.47388888888889
anchored,labels,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.25}",27.086600000000004,28.27311111111111
anchored,labels,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.5}",26.660911111111112,29.779
anchored,labels,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan_cci"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""ridge"", ""iw"": 0, ""lam"": 0.5}",19.849,86.026
anchored,labels,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.5}",27.255666666666666,26.805222222222227
anchored,labels,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan_cci"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""ddpm"", ""iw"": 0, ""lam"": 0.75}",29.918600000000005,24.44666666666667
analytic,labels,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",29.462866666666667,19.090999999999998
analytic,labels,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.2164,30.323333333333334
analytic,labels,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.32633333333333,29.773666666666667
analytic,labels,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",23.1574,50.61833333333334
analytic,labels,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.986066666666666,26.474999999999998
analytic,labels,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",31.256266666666665,10.124
all,deploy,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.581399999999995,22.846
all,deploy,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",26.543200000000002,33.037
all,deploy,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.202199999999998,29.742
all,deploy,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""ku_cal"", ""r"": 10.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 1.0}",24.3716,43.97233333333333
all,deploy,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.9284,26.111
all,deploy,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""ku_cal"", ""r"": 10.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.75}",30.768199999999997,15.335
anchored,deploy,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.581399999999995,22.846
anchored,deploy,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",26.543200000000002,33.037
anchored,deploy,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.202199999999998,29.742
anchored,deploy,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""ku_cal"", ""r"": 10.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 1.0}",24.3716,43.97233333333333
anchored,deploy,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.9284,26.111
anchored,deploy,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""stefan"", ""pseudo"": ""ku_cal"", ""r"": 10.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.75}",30.768199999999997,15.335
analytic,deploy,Lena,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",28.581399999999995,22.846
analytic,deploy,Canada,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",26.543200000000002,33.037
analytic,deploy,Russia_W,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.202199999999998,29.742
analytic,deploy,Russia_C,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",24.3732,43.887
analytic,deploy,Russia_E,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",27.9284,26.111
analytic,deploy,Greenland,"{""dset"": ""alaska"", ""xset"": ""x25"", ""anchor"": ""ku_cal"", ""pseudo"": ""none"", ""r"": 0.0, ""resid"": ""catboost_lo"", ""iw"": 0, ""lam"": 0.0}",31.124599999999997,10.13
